행정동코드,총생활인구수,raw_score_floating_pop
3164.7503,106.3387,106.3387
3167.6178,115.3751,115.3751
3167.8905,78.4499,78.4499
3168.2494,98.2072,98.2072
3169.5873,112.2208,112.2208
3170.0374,47.2955,47.2955
3171.6433,81.8214,81.8214
3172.0577,77.505,77.505
3172.8949,83.652,83.652
3173.417,80.0859,80.0859
3173.7939,73.6994,73.6994
3175.0335,84.378,84.378
3176.0496,95.3822,95.3822
3176.252,91.45,91.45
3177.451,86.3613,86.3613
3178.1138,66.9748,66.9748
3178.6189,81.6995,81.6995
3179.8841,70.5873,70.5873
3180.1798,63.7957,63.7957
3180.7425,76.3163,76.3163
3181.1227,103.1416,103.1416
3181.7267,105.7826,105.7826
3182.6826,70.4844,70.4844
3182.8175,114.3737,114.3737
3183.077,102.8655,102.8655
3183.0806,86.0509,86.0509
3183.2429,77.9178,77.9178
3183.5769,70.0369,70.0369
3184.4876,110.5926,110.5926
3184.5001,86.8158,86.8158
3187.7159,73.2524,73.2524
3187.8007,100.7255,100.7255
3188.4512,54.8084,54.8084
3188.6753,107.1215,107.1215
3188.9976,107.7402,107.7402
3189.0037,98.738,98.738
3190.2137,81.7513,81.7513
3190.3715,78.8296,78.8296
3191.3734,74.944,74.944
3191.4297,86.3518,86.3518
3191.5526,99.2074,99.2074
3193.2745,90.5533,90.5533
3193.6677,107.8799,107.8799
3194.3337,94.7279,94.7279
3194.3949,73.7706,73.7706
3196.1939,111.4174,111.4174
3197.5375,93.3492,93.3492
3197.5973,99.2194,99.2194
3197.7377,97.6419,97.6419
3198.264,82.973,82.973
3199.2582,76.6066,76.6066
3200.0958,107.637,107.637
3201.0531,102.1612,102.1612
3202.1119,100.5474,100.5474
3202.1252,108.9284,108.9284
3202.3856,110.7167,110.7167
3203.4972,89.8202,89.8202
3205.4161,82.2514,82.2514
3205.6504,106.5886,106.5886
3205.8487,103.834,103.834
3206.2197,84.1229,84.1229
3207.7832,103.0613,103.0613
3208.3089,82.928,82.928
3209.385,88.0362,88.0362
3209.8737,55.1238,55.1238
3210.0455,75.4819,75.4819
3210.4594,81.1214,81.1214
3211.5583,121.3058,121.3058
3212.5437,70.1554,70.1554
3212.7267,101.1619,101.1619
3213.6413,91.3973,91.3973
3213.7888,63.5839,63.5839
3214.6711,113.4526,113.4526
3216.0914,66.3019,66.3019
3216.4479,88.5999,88.5999
3217.9927,93.8303,93.8303
3218.559,75.9753,75.9753
3219.3834,93.585,93.585
3219.5971,93.2068,93.2068
3219.7234,92.6667,92.6667
3221.0285,93.0525,93.0525
3221.372,77.1466,77.1466
3221.957,86.4205,86.4205
3222.0835,118.8458,118.8458
3223.6605,92.3276,92.3276
3223.6864,101.2613,101.2613
3224.0441,65.0562,65.0562
3225.5944,83.19,83.19
3227.7903,75.0359,75.0359
3228.1463,96.3085,96.3085
3228.939,112.5466,112.5466
3229.483,76.2301,76.2301
3230.8237,98.0788,98.0788
3231.103,76.7701,76.7701
3231.1871,85.7565,85.7565
3232.2062,97.1897,97.1897
3233.1551,113.1528,113.1528
3234.6862,75.161,75.161
3235.0177,76.0521,76.0521
3236.0169,80.7942,80.7942
3236.2306,87.0904,87.0904
3237.1738,78.0109,78.0109
3237.627,76.9176,76.9176
3238.1069,95.8032,95.8032
3238.1752,119.5466,119.5466
3239.7034,110.1751,110.1751
3239.9916,72.6492,72.6492
3240.6027,110.244,110.244
3240.7085,102.8573,102.8573
3240.8811,95.4818,95.4818
3241.4279,91.8052,91.8052
3241.6031,88.4095,88.4095
3241.817,72.154,72.154
3242.0638,85.4641,85.4641
3242.4243,109.9772,109.9772
3243.0425,76.9472,76.9472
3243.6908,76.0923,76.0923
3244.0667,99.5573,99.5573
3244.6817,94.6708,94.6708
3244.7452,104.4841,104.4841
3246.6175,88.2266,88.2266
3247.0672,81.5044,81.5044
3248.2792,67.1718,67.1718
3249.1448,70.3167,70.3167
3249.9476,95.2532,95.2532
3251.0093,101.548,101.548
3251.9493,107.3653,107.3653
3252.201,79.9681,79.9681
3252.6739,111.1874,111.1874
3252.9658,66.9261,66.9261
3253.9089,97.9505,97.9505
3254.0155,84.2414,84.2414
3254.6577,96.3087,96.3087
3254.9178,91.3101,91.3101
3255.081,74.7685,74.7685
3255.1506,110.4564,110.4564
3255.1568,72.9108,72.9108
3255.4043,80.5293,80.5293
3256.2654,83.2361,83.2361
3257.3463,95.6013,95.6013
3257.7666,78.3031,78.3031
3258.5915,82.0951,82.0951
3258.9683,97.066,97.066
3259.0098,120.6405,120.6405
3259.8676,103.8503,103.8503
3260.0325,91.4131,91.4131
3262.3323,94.3747,94.3747
3262.7862,92.4065,92.4065
3262.9049,115.9062,115.9062
3264.9347,100.5479,100.5479
3265.0505,109.9824,109.9824
3265.5791,92.5041,92.5041
3265.8446,87.2078,87.2078
3266.5451,90.5057,90.5057
3267.101,116.4379,116.4379
3267.2491,76.0326,76.0326
3268.4878,71.8515,71.8515
3269.7347,112.4214,112.4214
3271.0821,93.8501,93.8501
3272.5951,82.9012,82.9012
3273.0983,110.7042,110.7042
3273.2909,57.621,57.621
3273.3341,114.4959,114.4959
3273.6963,106.5143,106.5143
3274.5646,89.9744,89.9744
3276.4208,87.9896,87.9896
3276.8304,117.6474,117.6474
3277.0752,87.8313,87.8313
3277.7762,102.0087,102.0087
3278.3611,83.049,83.049
3279.0396,107.2301,107.2301
3279.8609,110.0036,110.0036
3279.9763,52.8117,52.8117
3280.337,60.5448,60.5448
3281.6975,103.8748,103.8748
3281.9159,101.4289,101.4289
3282.2001,93.0732,93.0732
3283.5724,88.3562,88.3562
3284.6153,67.6718,67.6718
3286.466,77.724,77.724
3287.1833,108.4735,108.4735
3287.2245,56.3711,56.3711
3287.502,81.7643,81.7643
3287.566,83.5519,83.5519
3287.6072,79.9756,79.9756
3288.4317,72.2204,72.2204
