사업장명,도로명주소,raw_score_noise_pub,경도,위도
자매집,"서울특별시 종로구 종로36가길 10 (종로5가,지상1~2층)",1.0,127.00162220464787,37.5705974322792
행운,서울특별시 종로구 종로58길 6-3 (숭인동),1.0,127.01472254056723,37.57303220702115
닉스 노래방식 주점,"서울특별시 종로구 새문안로5가길 3-1 (당주동,지하1,2층)",1.0,126.97137885053183,37.5724794075962
해주집,서울특별시 종로구 종로36가길 10 (종로5가),1.0,127.00162220464787,37.5705974322792
황주집,"서울특별시 종로구 종로36가길 10 (종로5가,(지상1~2층))",1.0,127.00162220464787,37.5705974322792
밤차,서울특별시 종로구 종로36가길 8 (종로5가),1.0,127.00138260915729,37.57059978362741
주)쏘러,서울특별시 종로구 수표로 96 (관수동),1.0,126.98708830169116,37.569743711155844
보물섬,서울특별시 종로구 새문안로5길 13 (당주동),1.0,126.97156739578423,37.571396804353284
위드노라바,서울특별시 종로구 종로48길 15-4 (창신동),1.0,127.00915953233488,37.57159150989351
아방궁,"서울특별시 종로구 종로36가길 4, 1층 (종로5가)",1.0,127.00120523768112,37.570555069969394
사랑방,서울특별시 종로구 대학로2길 29 (효제동),1.0,127.00078734289289,37.57168699749208
영광노래광장,"서울특별시 종로구 세종대로23길 54, 지하1층 134호 (당주동, 세종빌딩)",1.0,126.97042519119049,37.571864160935846
퀸,"서울특별시 종로구 새문안로5길 5 (당주동,지하1층)",1.0,126.9718351974044,37.570692089890855
파레스,서울특별시 종로구 종로3길 24-20 (청진동),1.0,126.97752487374315,37.57141803137798
캐빈,"서울특별시 종로구 청계천로 231-8, 동  호 (종로5가)",1.0,127.00053628833527,37.57008113352145
피크(PEAK),서울특별시 종로구 돈화문로5가길 15 (돈의동),1.0,126.98842557981651,37.571448140045256
유람선,"서울특별시 종로구 종로35길 19, 혜원한의원 2층 (효제동)",1.0,127.00090819073384,37.5720399326071
장땡,서울특별시 종로구 대학로2길 39 (효제동),1.0,127.00145655806416,37.571568956762114
별무리,서울특별시 종로구 종로 263-1 (종로6가),1.0,127.00432606320841,37.57137588830897
원투쓰리,"서울특별시 종로구 돈화문로9길 40 (낙원동, (지하1층))",1.0,126.98660876034394,37.57171856677611
체리,서울특별시 종로구 우정국로 30-6 (공평동),1.0,,
18K,"서울특별시 종로구 돈화문로 84 (와룡동,지하1층)",1.0,126.98786130165307,37.575938681108674
폭스노래주점,서울특별시 종로구 대학로1길 41 (종로5가),1.0,126.9972151486968,37.571794257788675
한국특선갤러리,"서울특별시 종로구 삼일대로30길 9 (낙원동, (지하1층))",1.0,126.98529794281882,37.574066031498646
박카스,서울특별시 종로구 삼일대로17길 50 (관철동),1.0,126.98188427674002,37.56927867464843
핑클노래바,"서울특별시 종로구 종로 230-2, 지하 1층 (종로5가)",1.0,127.00051290147813,37.57078103982956
종로,"서울특별시 종로구 종로35길 3 (종로5가,지상2층)",1.0,127.000916189794,37.57137785750972
G 2,"서울특별시 종로구 삼일대로30길 21 (낙원동,종로오피스텔 지하 1층 117호)",1.0,126.98559851465804,37.57403670388924
성진,서울특별시 종로구 종로5길 32-12 (청진동),1.0,126.97828038779797,37.57172421900797
한일,서울특별시 종로구 돈화문로 29-1 (묘동),1.0,126.98887804583849,37.57122392173097
슬로우(SLOW),"서울특별시 종로구 돈화문로11다길 9 (돈의동,(지하1층))",1.0,126.98765121549391,37.57287935541758
큐노리방,서울특별시 종로구 종로 298 (창신동),1.0,127.00811730894911,37.571527012500354
슈퍼맨,서울특별시 종로구 종로38길 3 (종로5가),1.0,127.00226527275075,37.57069964953024
스카이 노래짱,서울특별시 종로구 돈화문로5길 32 (낙원동),1.0,126.98735781825104,37.57082614831978
문화노래짱유흥주점,"서울특별시 종로구 지봉로 16 (숭인동,지하1층)",1.0,127.01324847165581,37.57149820959914
음치,서울특별시 종로구 수표로 108 (낙원동),1.0,126.98662525070394,37.570898875617026
카스바,서울특별시 종로구 종로26길 18 (장사동),1.0,126.99180658720539,37.56938563128589
초원,"서울특별시 종로구 종로 233-1, 메디칼라움빌딩 (종로5가)",1.0,127.00083815414463,37.57130723051545
앵콜 노래빠,"서울특별시 종로구 종로46길 22, 임진빌딩 지하1층 (창신동)",1.0,127.00732838577343,37.57065076856961
춘향이,"서울특별시 종로구 대학로2길 32, 지상2층 (종로5가)",1.0,127.00088589491097,37.57144030151898
TENSION,"서울특별시 종로구 수표로 116 (낙원동,지하1층)",1.0,126.98651688868318,37.571525456291
초이스,"서울특별시 종로구 종로33길 14, 지하1층 (효제동)",1.0,126.99878765470902,37.57171682211208
벤츠,"서울특별시 종로구 종로8길 15-1 (관철동,지하1층)",1.0,126.98119947052619,37.56932220389408
메이드,서울특별시 종로구 종로41길 8 (종로6가),1.0,127.00395193855677,37.57157143850265
레이싱걸,"서울특별시 종로구 종로46길 27, 덕일빌딩 지하1층 (창신동)",1.0,127.00748646345163,37.570333750694466
